State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Nagaland,TUENSANG,Arhar/Tur,2000-01,Kharif,400,Hectare,460,Tonnes,1.15
Nagaland,WOKHA,Arhar/Tur,1999-00,Kharif,70,Hectare,50,Tonnes,0.714285714285714
Nagaland,MOKOKCHUNG,Bajra,2000-01,Kharif,190,Hectare,160,Tonnes,0.842105263157894
Nagaland,MON,Bajra,1997-98,Kharif,100,Hectare,80,Tonnes,0.8
Nagaland,MON,Bajra,1999-00,Kharif,180,Hectare,150,Tonnes,0.833333333333333
Nagaland,MON,Bajra,2000-01,Kharif,200,Hectare,150,Tonnes,0.75
Nagaland,PHEK,Bajra,1997-98,Kharif,100,Hectare,70,Tonnes,0.7
Nagaland,PHEK,Bajra,1999-00,Kharif,170,Hectare,140,Tonnes,0.823529411764705
Nagaland,PHEK,Bajra,2000-01,Kharif,160,Hectare,140,Tonnes,0.875
Nagaland,TUENSANG,Bajra,1997-98,Kharif,100,Hectare,70,Tonnes,0.7
Nagaland,TUENSANG,Bajra,1999-00,Kharif,190,Hectare,160,Tonnes,0.842105263157894
Nagaland,TUENSANG,Bajra,2000-01,Kharif,170,Hectare,140,Tonnes,0.823529411764705
Nagaland,WOKHA,Bajra,1997-98,Kharif,250,Hectare,170,Tonnes,0.68
Nagaland,WOKHA,Bajra,1999-00,Kharif,270,Hectare,230,Tonnes,0.851851851851851
Nagaland,WOKHA,Bajra,2000-01,Kharif,280,Hectare,250,Tonnes,0.892857142857142
Nagaland,ZUNHEBOTO,Bajra,1997-98,Kharif,100,Hectare,70,Tonnes,0.7
Nagaland,ZUNHEBOTO,Bajra,1999-00,Kharif,160,Hectare,130,Tonnes,0.8125
Nagaland,ZUNHEBOTO,Bajra,2000-01,Kharif,160,Hectare,130,Tonnes,0.8125
Nagaland,DIMAPUR,Barley,2000-01,Rabi,150,Hectare,230,Tonnes,1.53333333333333
Nagaland,KOHIMA,Barley,2000-01,Rabi,100,Hectare,150,Tonnes,1.5
Nagaland,MOKOKCHUNG,Barley,2000-01,Rabi,130,Hectare,190,Tonnes,1.46153846153846
Nagaland,MON,Barley,2000-01,Rabi,150,Hectare,230,Tonnes,1.53333333333333
Nagaland,PHEK,Barley,2000-01,Rabi,100,Hectare,150,Tonnes,1.5
Nagaland,TUENSANG,Barley,2000-01,Rabi,100,Hectare,150,Tonnes,1.5
Nagaland,WOKHA,Barley,2000-01,Rabi,150,Hectare,220,Tonnes,1.46666666666666
Nagaland,ZUNHEBOTO,Barley,2000-01,Rabi,120,Hectare,180,Tonnes,1.5
Nagaland,DIMAPUR,Castor seed,2000-01,Kharif,150,Hectare,120,Tonnes,0.8
Nagaland,KOHIMA,Castor seed,1999-00,Kharif,250,Hectare,190,Tonnes,0.76
Nagaland,KOHIMA,Castor seed,2000-01,Kharif,90,Hectare,70,Tonnes,0.777777777777777
Nagaland,MOKOKCHUNG,Castor seed,1999-00,Kharif,20,Hectare,150,Tonnes,7.5
Nagaland,MOKOKCHUNG,Castor seed,2000-01,Kharif,210,Hectare,140,Tonnes,0.666666666666666
Nagaland,MON,Castor seed,1999-00,Kharif,150,Hectare,120,Tonnes,0.8
Nagaland,MON,Castor seed,2000-01,Kharif,130,Hectare,120,Tonnes,0.923076923076923
Nagaland,TUENSANG,Castor seed,1999-00,Kharif,180,Hectare,130,Tonnes,0.722222222222222
Nagaland,TUENSANG,Castor seed,2000-01,Kharif,190,Hectare,150,Tonnes,0.789473684210526
Nagaland,WOKHA,Castor seed,1999-00,Kharif,220,Hectare,160,Tonnes,0.727272727272727
Nagaland,WOKHA,Castor seed,2000-01,Kharif,230,Hectare,150,Tonnes,0.652173913043478
Nagaland,DIMAPUR,Cotton(lint),2000-01,Kharif,91,Hectare,130,Bales,1.42857142857142
Nagaland,KOHIMA,Cotton(lint),1999-00,Kharif,30,Hectare,40,Bales,1.33333333333333
Nagaland,KOHIMA,Cotton(lint),2000-01,Kharif,10,Hectare,20,Bales,2
Nagaland,MOKOKCHUNG,Cotton(lint),1999-00,Kharif,30,Hectare,40,Bales,1.33333333333333
Nagaland,MOKOKCHUNG,Cotton(lint),2000-01,Kharif,30,Hectare,40,Bales,1.33333333333333
Nagaland,MON,Cotton(lint),1999-00,Kharif,30,Hectare,40,Bales,1.33333333333333
Nagaland,MON,Cotton(lint),2000-01,Kharif,20,Hectare,20,Bales,1
Nagaland,PHEK,Cotton(lint),1999-00,Kharif,50,Hectare,70,Bales,1.4
Nagaland,PHEK,Cotton(lint),2000-01,Kharif,20,Hectare,40,Bales,2
Nagaland,TUENSANG,Cotton(lint),1999-00,Kharif,20,Hectare,30,Bales,1.5
Nagaland,TUENSANG,Cotton(lint),2000-01,Kharif,20,Hectare,30,Bales,1.5
Nagaland,WOKHA,Cotton(lint),1999-00,Kharif,40,Hectare,60,Bales,1.5
Nagaland,WOKHA,Cotton(lint),2000-01,Kharif,20,Hectare,20,Bales,1
Nagaland,ZUNHEBOTO,Cotton(lint),1999-00,Kharif,50,Hectare,70,Bales,1.4
Nagaland,ZUNHEBOTO,Cotton(lint),2000-01,Kharif,40,Hectare,50,Bales,1.25
Nagaland,DIMAPUR,Gram,2000-01,Rabi,200,Hectare,220,Tonnes,1.1
Nagaland,KOHIMA,Gram,1999-00,Rabi,300,Hectare,360,Tonnes,1.2
Nagaland,KOHIMA,Gram,2000-01,Rabi,90,Hectare,70,Tonnes,0.777777777777777
Nagaland,MOKOKCHUNG,Gram,1999-00,Rabi,130,Hectare,160,Tonnes,1.23076923076923
Nagaland,MOKOKCHUNG,Gram,2000-01,Rabi,150,Hectare,100,Tonnes,0.666666666666666
Nagaland,MON,Gram,1999-00,Rabi,800,Hectare,100,Tonnes,0.125
Nagaland,MON,Gram,2000-01,Rabi,80,Hectare,70,Tonnes,0.875
Nagaland,PHEK,Gram,1999-00,Rabi,100,Hectare,120,Tonnes,1.2
Nagaland,PHEK,Gram,2000-01,Rabi,110,Hectare,80,Tonnes,0.727272727272727
Nagaland,TUENSANG,Gram,1999-00,Rabi,100,Hectare,120,Tonnes,1.2
Nagaland,TUENSANG,Gram,2000-01,Rabi,100,Hectare,70,Tonnes,0.7
Nagaland,WOKHA,Gram,1999-00,Rabi,170,Hectare,20,Tonnes,0.117647058823529
Nagaland,WOKHA,Gram,2000-01,Rabi,160,Hectare,110,Tonnes,0.6875
Nagaland,ZUNHEBOTO,Gram,1999-00,Rabi,120,Hectare,140,Tonnes,1.16666666666666
Nagaland,ZUNHEBOTO,Gram,2000-01,Rabi,110,Hectare,80,Tonnes,0.727272727272727
Nagaland,DIMAPUR,Groundnut,2000-01,Kharif,650,Hectare,670,Tonnes,1.03076923076923
Nagaland,KOHIMA,Groundnut,1999-00,Kharif,700,Hectare,850,Tonnes,1.21428571428571
Nagaland,KOHIMA,Groundnut,2000-01,Kharif,200,Hectare,280,Tonnes,1.4
Nagaland,MOKOKCHUNG,Groundnut,1999-00,Kharif,450,Hectare,540,Tonnes,1.2
Nagaland,MOKOKCHUNG,Groundnut,2000-01,Kharif,490,Hectare,550,Tonnes,1.12244897959183
Nagaland,MON,Groundnut,1999-00,Kharif,250,Hectare,30,Tonnes,0.12
Nagaland,MON,Groundnut,2000-01,Kharif,290,Hectare,390,Tonnes,1.34482758620689
Nagaland,PHEK,Groundnut,1999-00,Kharif,400,Hectare,480,Tonnes,1.2
Nagaland,PHEK,Groundnut,2000-01,Kharif,470,Hectare,510,Tonnes,1.08510638297872
Nagaland,TUENSANG,Groundnut,1999-00,Kharif,350,Hectare,420,Tonnes,1.2
Nagaland,TUENSANG,Groundnut,2000-01,Kharif,410,Hectare,490,Tonnes,1.19512195121951
Nagaland,WOKHA,Groundnut,1999-00,Kharif,500,Hectare,60,Tonnes,0.12
Nagaland,WOKHA,Groundnut,2000-01,Kharif,580,Hectare,620,Tonnes,1.06896551724137
Nagaland,ZUNHEBOTO,Groundnut,1999-00,Kharif,350,Hectare,420,Tonnes,1.2
Nagaland,ZUNHEBOTO,Groundnut,2000-01,Kharif,410,Hectare,490,Tonnes,1.19512195121951
Nagaland,DIMAPUR,Jowar,2000-01,Kharif,270,Hectare,230,Tonnes,0.851851851851851
Nagaland,KOHIMA,Jowar,1999-00,Kharif,220,Hectare,190,Tonnes,0.863636363636363
Nagaland,KOHIMA,Jowar,2000-01,Kharif,140,Hectare,110,Tonnes,0.785714285714285
Nagaland,MOKOKCHUNG,Jowar,1997-98,Kharif,50,Hectare,40,Tonnes,0.8
Nagaland,MOKOKCHUNG,Jowar,1999-00,Kharif,180,Hectare,150,Tonnes,0.833333333333333
Nagaland,MOKOKCHUNG,Jowar,2000-01,Kharif,160,Hectare,130,Tonnes,0.8125
Nagaland,MON,Jowar,1997-98,Kharif,300,Hectare,210,Tonnes,0.7
Nagaland,MON,Jowar,1999-00,Kharif,250,Hectare,20,Tonnes,0.08
Nagaland,MON,Jowar,2000-01,Kharif,150,Hectare,130,Tonnes,0.866666666666666
Nagaland,WOKHA,Sunflower,2000-01,Rabi,150,Hectare,160,Tonnes,1.06666666666666
Nagaland,ZUNHEBOTO,Sunflower,1999-00,Kharif,120,Hectare,150,Tonnes,1.25
Nagaland,ZUNHEBOTO,Sunflower,1999-00,Rabi,250,Hectare,350,Tonnes,1.4
Nagaland,ZUNHEBOTO,Sunflower,2000-01,Kharif,300,Hectare,220,Tonnes,0.733333333333333
Nagaland,ZUNHEBOTO,Sunflower,2000-01,Rabi,100,Hectare,110,Tonnes,1.1
Nagaland,DIMAPUR,Wheat,2000-01,Rabi,1100,Hectare,2500,Tonnes,2.27272727272727
Nagaland,KOHIMA,Wheat,1998-99,Rabi,1000,Hectare,3000,Tonnes,3
Nagaland,KOHIMA,Wheat,2000-01,Rabi,220,Hectare,700,Tonnes,3.18181818181818
Nagaland,MOKOKCHUNG,Wheat,2000-01,Rabi,560,Hectare,1000,Tonnes,1.78571428571428
Nagaland,MON,Wheat,2000-01,Rabi,680,Hectare,1200,Tonnes,1.76470588235294
Nagaland,PHEK,Wheat,2000-01,Rabi,730,Hectare,1200,Tonnes,1.64383561643835
Nagaland,TUENSANG,Wheat,2000-01,Rabi,420,Hectare,800,Tonnes,1.9047619047619
Odisha,BOUDH,Arhar/Tur,1997-98,Summer,360,Hectare,62,Tonnes,0.172222222222222
Odisha,BOUDH,Arhar/Tur,1997-98,Winter,1232,Hectare,149,Tonnes,0.120941558441558
Odisha,BOUDH,Arhar/Tur,1999-00,Kharif,3190,Hectare,2870,Tonnes,0.899686520376175
Odisha,BOUDH,Arhar/Tur,2000-01,Kharif,2930,Hectare,2720,Tonnes,0.928327645051194
Odisha,CUTTACK,Arhar/Tur,1997-98,Summer,23111,Hectare,4392,Tonnes,0.190039375189303
Odisha,CUTTACK,Arhar/Tur,1997-98,Winter,1797,Hectare,516,Tonnes,0.287145242070116
Odisha,CUTTACK,Arhar/Tur,1999-00,Kharif,1240,Hectare,1000,Tonnes,0.806451612903225
Odisha,CUTTACK,Arhar/Tur,2000-01,Kharif,1360,Hectare,1070,Tonnes,0.786764705882352
Odisha,CUTTACK,Arhar/Tur,2000-01,Rabi,30,Hectare,20,Tonnes,0.666666666666666
Odisha,DEOGARH,Arhar/Tur,1997-98,Autumn,1251,Hectare,405,Tonnes,0.323741007194244
Odisha,DEOGARH,Arhar/Tur,1997-98,Summer,181,Hectare,58,Tonnes,0.320441988950276
Odisha,DEOGARH,Arhar/Tur,1997-98,Winter,93,Hectare,18,Tonnes,0.193548387096774
Odisha,DEOGARH,Arhar/Tur,1999-00,Kharif,550,Hectare,340,Tonnes,0.618181818181818
Odisha,DEOGARH,Arhar/Tur,2000-01,Kharif,440,Hectare,220,Tonnes,0.5
Odisha,DHENKANAL,Arhar/Tur,1997-98,Autumn,322,Hectare,32,Tonnes,0.0993788819875776
Odisha,DHENKANAL,Arhar/Tur,1997-98,Summer,904,Hectare,203,Tonnes,0.224557522123893
Odisha,DHENKANAL,Arhar/Tur,1997-98,Winter,609,Hectare,110,Tonnes,0.180623973727422
Odisha,DHENKANAL,Arhar/Tur,1999-00,Kharif,6460,Hectare,4210,Tonnes,0.651702786377709
Odisha,DHENKANAL,Arhar/Tur,2000-01,Kharif,6070,Hectare,4490,Tonnes,0.739703459637561
Odisha,GAJAPATI,Arhar/Tur,1997-98,Winter,1106,Hectare,352,Tonnes,0.318264014466546
Odisha,GAJAPATI,Arhar/Tur,1999-00,Kharif,3840,Hectare,2730,Tonnes,0.7109375
Odisha,GAJAPATI,Arhar/Tur,2000-01,Kharif,3970,Hectare,4020,Tonnes,1.01259445843828
Odisha,GANJAM,Arhar/Tur,1997-98,Autumn,63,Hectare,7,Tonnes,0.111111111111111
Odisha,GANJAM,Arhar/Tur,1997-98,Summer,143,Hectare,41,Tonnes,0.286713286713286
Odisha,GANJAM,Arhar/Tur,1997-98,Winter,57061,Hectare,11355,Tonnes,0.198997564010444
Odisha,GANJAM,Arhar/Tur,1999-00,Kharif,7950,Hectare,2460,Tonnes,0.30943396226415
Odisha,GANJAM,Arhar/Tur,2000-01,Kharif,9690,Hectare,8140,Tonnes,0.840041279669762
Odisha,JAGATSINGHAPUR,Arhar/Tur,1997-98,Summer,16178,Hectare,2718,Tonnes,0.168005933984423
Odisha,JAGATSINGHAPUR,Arhar/Tur,1997-98,Winter,190,Hectare,55,Tonnes,0.289473684210526
Odisha,JAGATSINGHAPUR,Arhar/Tur,1999-00,Kharif,230,Hectare,190,Tonnes,0.826086956521739
Odisha,JAGATSINGHAPUR,Arhar/Tur,2000-01,Kharif,130,Hectare,70,Tonnes,0.538461538461538
Odisha,JAJAPUR,Arhar/Tur,1997-98,Summer,12688,Hectare,3045,Tonnes,0.23999054224464
Odisha,JAJAPUR,Arhar/Tur,1997-98,Winter,67,Hectare,9,Tonnes,0.134328358208955
Odisha,JAJAPUR,Arhar/Tur,1999-00,Kharif,2250,Hectare,780,Tonnes,0.346666666666666
Odisha,JAJAPUR,Arhar/Tur,2000-01,Kharif,2890,Hectare,1030,Tonnes,0.356401384083045
Odisha,JHARSUGUDA,Arhar/Tur,1997-98,Autumn,24,Hectare,6,Tonnes,0.25
Odisha,JHARSUGUDA,Arhar/Tur,1997-98,Summer,55,Hectare,21,Tonnes,0.381818181818181
Odisha,JHARSUGUDA,Arhar/Tur,1999-00,Kharif,230,Hectare,140,Tonnes,0.608695652173913
Odisha,JHARSUGUDA,Arhar/Tur,2000-01,Kharif,280,Hectare,160,Tonnes,0.571428571428571
Odisha,KALAHANDI,Arhar/Tur,1997-98,Autumn,37,Hectare,3,Tonnes,0.081081081081081
Odisha,KALAHANDI,Arhar/Tur,1997-98,Summer,2376,Hectare,444,Tonnes,0.186868686868686
Odisha,KALAHANDI,Arhar/Tur,1997-98,Winter,4796,Hectare,566,Tonnes,0.118015012510425
Odisha,KALAHANDI,Arhar/Tur,1999-00,Kharif,19580,Hectare,12820,Tonnes,0.654749744637385
Odisha,KALAHANDI,Arhar/Tur,2000-01,Kharif,20740,Hectare,13650,Tonnes,0.65814850530376
Odisha,KANDHAMAL,Arhar/Tur,1997-98,Winter,73,Hectare,10,Tonnes,0.136986301369863
Odisha,KANDHAMAL,Arhar/Tur,1999-00,Kharif,5200,Hectare,4050,Tonnes,0.778846153846153
Odisha,KANDHAMAL,Arhar/Tur,2000-01,Kharif,5350,Hectare,4320,Tonnes,0.807476635514018
Odisha,KENDRAPARA,Arhar/Tur,1997-98,Autumn,5,Hectare,1,Tonnes,0.2
Odisha,KENDRAPARA,Arhar/Tur,1997-98,Summer,7993,Hectare,2030,Tonnes,0.253972225697485
Odisha,KENDRAPARA,Arhar/Tur,1997-98,Winter,30,Hectare,11,Tonnes,0.366666666666666
Odisha,KENDRAPARA,Arhar/Tur,1999-00,Kharif,160,Hectare,150,Tonnes,0.9375
Odisha,KENDRAPARA,Arhar/Tur,2000-01,Kharif,100,Hectare,90,Tonnes,0.9
Odisha,KENDUJHAR,Arhar/Tur,1997-98,Summer,125,Hectare,27,Tonnes,0.216
Punjab,FATEHGARH SAHIB,Arhar/Tur,2000-01,Kharif,300,Hectare,300,Tonnes,1
Punjab,FIROZEPUR,Arhar/Tur,1997-98,Kharif,200,Hectare,100,Tonnes,0.5
Punjab,FIROZEPUR,Arhar/Tur,1998-99,Kharif,200,Hectare,100,Tonnes,0.5
Punjab,FIROZEPUR,Arhar/Tur,1999-00,Kharif,200,Hectare,200,Tonnes,1
Punjab,FIROZEPUR,Arhar/Tur,2000-01,Kharif,100,Hectare,100,Tonnes,1
Punjab,GURDASPUR,Arhar/Tur,1997-98,Kharif,100,Hectare,100,Tonnes,1
Punjab,HOSHIARPUR,Arhar/Tur,1997-98,Kharif,200,Hectare,100,Tonnes,0.5
Punjab,HOSHIARPUR,Arhar/Tur,1998-99,Kharif,100,Hectare,100,Tonnes,1
Punjab,HOSHIARPUR,Arhar/Tur,1999-00,Kharif,200,Hectare,100,Tonnes,0.5
Punjab,HOSHIARPUR,Arhar/Tur,2000-01,Kharif,100,Hectare,100,Tonnes,1
Punjab,JALANDHAR,Arhar/Tur,1997-98,Kharif,600,Hectare,300,Tonnes,0.5
Punjab,JALANDHAR,Arhar/Tur,1998-99,Kharif,400,Hectare,300,Tonnes,0.75
Punjab,JALANDHAR,Arhar/Tur,1999-00,Kharif,600,Hectare,400,Tonnes,0.666666666666666
Punjab,BATHINDA,Barley,2000-01,Rabi,5000,Hectare,14000,Tonnes,2.8
Punjab,FARIDKOT,Barley,1997-98,Rabi,1000,Hectare,3000,Tonnes,3
Punjab,FARIDKOT,Barley,1999-00,Rabi,1000,Hectare,3000,Tonnes,3
Punjab,FARIDKOT,Barley,2000-01,Rabi,1000,Hectare,3000,Tonnes,3
Punjab,FATEHGARH SAHIB,Barley,1997-98,Rabi,1000,Hectare,3000,Tonnes,3
Punjab,FATEHGARH SAHIB,Barley,1998-99,Rabi,1000,Hectare,3000,Tonnes,3
Punjab,FATEHGARH SAHIB,Barley,1999-00,Rabi,1000,Hectare,4000,Tonnes,4
Punjab,FATEHGARH SAHIB,Barley,2000-01,Rabi,1000,Hectare,3000,Tonnes,3
Punjab,FIROZEPUR,Barley,1997-98,Rabi,4000,Hectare,14000,Tonnes,3.5
Punjab,FIROZEPUR,Barley,1999-00,Rabi,4000,Hectare,14000,Tonnes,3.5
Punjab,FIROZEPUR,Barley,2000-01,Rabi,5000,Hectare,17000,Tonnes,3.4
Puducherry,PONDICHERRY,Moong(Green Gram),2000-01,Rabi,85,Hectare,49,Tonnes,0.576470588235294
Puducherry,YANAM,Moong(Green Gram),1999-00,Rabi,234,Hectare,117,Tonnes,0.5
Puducherry,YANAM,Moong(Green Gram),2000-01,Kharif,149,Hectare,93,Tonnes,0.624161073825503
Puducherry,YANAM,Moong(Green Gram),2000-01,Rabi,149,Hectare,93,Tonnes,0.624161073825503
Puducherry,PONDICHERRY,Onion,1998-99,Kharif,26,Hectare,429,Tonnes,16.5
Puducherry,PONDICHERRY,Onion,1999-00,Whole Year,14,Hectare,183,Tonnes,13.0714285714285
Puducherry,PONDICHERRY,Onion,2000-01,Whole Year,13,Hectare,202,Tonnes,15.5384615384615
Puducherry,KARAIKAL,Other Rabi pulses,1999-00,Rabi,1,Hectare,1,Tonnes,1
Puducherry,PONDICHERRY,Other Rabi pulses,1999-00,Rabi,60,Hectare,120,Tonnes,2
Puducherry,PONDICHERRY,Other Rabi pulses,2000-01,Rabi,61,Hectare,124,Tonnes,2.0327868852459
Puducherry,YANAM,Other Rabi pulses,1999-00,Rabi,2,Hectare,2,Tonnes,1
Puducherry,YANAM,Other Rabi pulses,2000-01,Rabi,3,Hectare,1,Tonnes,0.333333333333333
Puducherry,KARAIKAL,Ragi,2000-01,Kharif,125,Hectare,276,Tonnes,2.208
Puducherry,PONDICHERRY,Ragi,1998-99,Kharif,112,Hectare,366,Tonnes,3.26785714285714
Puducherry,PONDICHERRY,Ragi,1999-00,Kharif,123,Hectare,449,Tonnes,3.65040650406504
Puducherry,YANAM,Ragi,1999-00,Kharif,1,Hectare,3,Tonnes,3
Puducherry,KARAIKAL,Rapeseed &Mustard,1999-00,Rabi,15,Hectare,68,Tonnes,4.53333333333333
Puducherry,KARAIKAL,Rapeseed &Mustard,2000-01,Rabi,15,Hectare,68,Tonnes,4.53333333333333
Puducherry,MAHE,Rapeseed &Mustard,1999-00,Rabi,1,Hectare,5,Tonnes,5
Puducherry,PONDICHERRY,Rapeseed &Mustard,1999-00,Rabi,48,Hectare,410,Tonnes,8.54166666666666
Puducherry,PONDICHERRY,Rapeseed &Mustard,2000-01,Rabi,48,Hectare,384,Tonnes,8
Puducherry,KARAIKAL,Rice,1998-99,Kharif,909,Hectare,2215,Tonnes,2.43674367436743
Puducherry,KARAIKAL,Rice,1998-99,Rabi,7550,Hectare,14556,Tonnes,1.92794701986754
Puducherry,KARAIKAL,Rice,1998-99,Summer,153,Hectare,383,Tonnes,2.5032679738562
Rajasthan,KARAULI,Arhar/Tur,2000-01,Kharif,457,Hectare,109,Tonnes,0.23851203501094
Rajasthan,KOTA,Arhar/Tur,1997-98,Kharif,100,Hectare,100,Tonnes,1
Rajasthan,KOTA,Arhar/Tur,1998-99,Kharif,246,Hectare,326,Tonnes,1.32520325203252
Rajasthan,KOTA,Arhar/Tur,1999-00,Kharif,431,Hectare,229,Tonnes,0.531322505800464
Rajasthan,KOTA,Arhar/Tur,2000-01,Kharif,256,Hectare,54,Tonnes,0.2109375
Rajasthan,PALI,Arhar/Tur,1997-98,Kharif,200,Hectare,100,Tonnes,0.5
Rajasthan,PALI,Arhar/Tur,1998-99,Kharif,152,Hectare,201,Tonnes,1.32236842105263
Rajasthan,PALI,Arhar/Tur,1999-00,Kharif,181,Hectare,,Tonnes,0
Rajasthan,PALI,Arhar/Tur,2000-01,Kharif,153,Hectare,,Tonnes,0
Rajasthan,RAJSAMAND,Arhar/Tur,1998-99,Kharif,3,Hectare,4,Tonnes,1.33333333333333
Rajasthan,RAJSAMAND,Arhar/Tur,1999-00,Kharif,8,Hectare,1,Tonnes,0.125
Rajasthan,SAWAI MADHOPUR,Arhar/Tur,1997-98,Kharif,600,Hectare,200,Tonnes,0.333333333333333
Rajasthan,SAWAI MADHOPUR,Arhar/Tur,1998-99,Kharif,1394,Hectare,1847,Tonnes,1.32496413199426
Rajasthan,SAWAI MADHOPUR,Arhar/Tur,1999-00,Kharif,2884,Hectare,1441,Tonnes,0.499653259361997
Rajasthan,SAWAI MADHOPUR,Arhar/Tur,2000-01,Kharif,3328,Hectare,518,Tonnes,0.155649038461538
Rajasthan,SIKAR,Arhar/Tur,1997-98,Kharif,300,Hectare,200,Tonnes,0.666666666666666
Rajasthan,SIKAR,Arhar/Tur,1998-99,Kharif,82,Hectare,109,Tonnes,1.32926829268292
Rajasthan,SIKAR,Arhar/Tur,1999-00,Kharif,18,Hectare,8,Tonnes,0.444444444444444
Rajasthan,SIKAR,Arhar/Tur,2000-01,Kharif,11,Hectare,4,Tonnes,0.363636363636363
Rajasthan,SIROHI,Arhar/Tur,1997-98,Kharif,800,Hectare,800,Tonnes,1
Rajasthan,SIROHI,Arhar/Tur,1998-99,Kharif,520,Hectare,689,Tonnes,1.325
Rajasthan,SIROHI,Arhar/Tur,1999-00,Kharif,611,Hectare,8,Tonnes,0.0130932896890343
Rajasthan,SIROHI,Arhar/Tur,2000-01,Kharif,440,Hectare,,Tonnes,0
Rajasthan,TONK,Arhar/Tur,1997-98,Kharif,100,Hectare,100,Tonnes,1
Rajasthan,TONK,Arhar/Tur,1998-99,Kharif,35,Hectare,46,Tonnes,1.31428571428571
Rajasthan,TONK,Arhar/Tur,1999-00,Kharif,55,Hectare,26,Tonnes,0.472727272727272
Rajasthan,TONK,Arhar/Tur,2000-01,Kharif,48,Hectare,,Tonnes,0
Rajasthan,UDAIPUR,Arhar/Tur,1997-98,Kharif,4300,Hectare,4400,Tonnes,1.02325581395348
Rajasthan,UDAIPUR,Arhar/Tur,1998-99,Kharif,3742,Hectare,5168,Tonnes,1.38107963655799
Rajasthan,UDAIPUR,Arhar/Tur,1999-00,Kharif,3438,Hectare,1522,Tonnes,0.442699243746364
Rajasthan,UDAIPUR,Arhar/Tur,2000-01,Kharif,3253,Hectare,688,Tonnes,0.211497079618813
Rajasthan,AJMER,Bajra,1997-98,Kharif,56600,Hectare,30400,Tonnes,0.537102473498233
Rajasthan,JAIPUR,Barley,1998-99,Rabi,52665,Hectare,107885,Tonnes,2.04851419348713
Rajasthan,JAIPUR,Barley,1999-00,Rabi,52212,Hectare,113009,Tonnes,2.16442580249751
Rajasthan,JAIPUR,Barley,2000-01,Rabi,58447,Hectare,106103,Tonnes,1.81537119099354
Rajasthan,JAISALMER,Barley,1997-98,Rabi,100,Hectare,100,Tonnes,1
Rajasthan,JAISALMER,Barley,1998-99,Rabi,43,Hectare,85,Tonnes,1.97674418604651
Rajasthan,JAISALMER,Barley,1999-00,Rabi,63,Hectare,127,Tonnes,2.01587301587301
Rajasthan,JAISALMER,Barley,2000-01,Rabi,111,Hectare,201,Tonnes,1.81081081081081
Rajasthan,JALORE,Barley,1997-98,Rabi,700,Hectare,1300,Tonnes,1.85714285714285
Rajasthan,JALORE,Barley,1998-99,Rabi,792,Hectare,1565,Tonnes,1.9760101010101
Rajasthan,JALORE,Barley,1999-00,Rabi,573,Hectare,1157,Tonnes,2.01919720767888
Rajasthan,JALORE,Barley,2000-01,Rabi,530,Hectare,962,Tonnes,1.81509433962264
Rajasthan,JHALAWAR,Barley,1997-98,Rabi,400,Hectare,800,Tonnes,2
Rajasthan,JHALAWAR,Barley,1998-99,Rabi,303,Hectare,599,Tonnes,1.97689768976897
Rajasthan,JHALAWAR,Barley,1999-00,Rabi,310,Hectare,626,Tonnes,2.01935483870967
Rajasthan,JHALAWAR,Barley,2000-01,Rabi,307,Hectare,557,Tonnes,1.814332247557
Sikkim,WEST DISTRICT,Barley,2000-01,Rabi,450,Hectare,470,Tonnes,1.04444444444444
Sikkim,EAST DISTRICT,Maize,1997-98,Kharif,9700,Hectare,14120,Tonnes,1.45567010309278
Sikkim,EAST DISTRICT,Maize,1998-99,Kharif,9690,Hectare,16450,Tonnes,1.69762641898864
Sikkim,EAST DISTRICT,Maize,1999-00,Kharif,9700,Hectare,13473,Tonnes,1.38896907216494
Sikkim,EAST DISTRICT,Maize,2000-01,Kharif,10210,Hectare,15700,Tonnes,1.53770812928501
Sikkim,NORTH DISTRICT,Maize,1997-98,Kharif,3093,Hectare,4440,Tonnes,1.43549951503394
Sikkim,NORTH DISTRICT,Maize,1998-99,Kharif,3093,Hectare,2230,Tonnes,0.720982864532816
Sikkim,NORTH DISTRICT,Maize,1999-00,Kharif,3093,Hectare,4161,Tonnes,1.34529582929194
Sikkim,NORTH DISTRICT,Maize,2000-01,Kharif,3093,Hectare,4561,Tonnes,1.47462010992563
Sikkim,SOUTH DISTRICT,Maize,1997-98,Kharif,13300,Hectare,18050,Tonnes,1.35714285714285
Sikkim,SOUTH DISTRICT,Maize,1998-99,Kharif,13300,Hectare,16620,Tonnes,1.24962406015037
Sikkim,SOUTH DISTRICT,Maize,1999-00,Kharif,13300,Hectare,17000,Tonnes,1.2781954887218
Sikkim,SOUTH DISTRICT,Maize,2000-01,Kharif,13300,Hectare,19600,Tonnes,1.47368421052631
Sikkim,WEST DISTRICT,Maize,1997-98,Kharif,13300,Hectare,19100,Tonnes,1.4360902255639
Sikkim,WEST DISTRICT,Maize,1998-99,Kharif,13300,Hectare,18500,Tonnes,1.39097744360902
Sikkim,WEST DISTRICT,Maize,1999-00,Kharif,13000,Hectare,18200,Tonnes,1.4
Sikkim,WEST DISTRICT,Maize,2000-01,Kharif,13300,Hectare,19750,Tonnes,1.48496240601503
